REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
28979,20.562.297/0001-96,PAULO EDUARDO MARQUES DA SILVA JUNIOR,INFEST PRODUTORA DE FILMES PUBLICIDADE MARKETING E EVENTOS LTDA - EPP,23.829.460/0001-22
36976,15.311.039/0001-05,ARTESANAL EDICOES E PRODUCOES LTDA - EPP,S.M. EVENTOS MUSICAIS LTDA,23.674.205/0001-58
40942,31.125.999/0001-29,SUPERNOVA PRODUCOES CINEMATOGRAFICAS LTDA,SILVIO SOARES DE TOLEDO PRODUCOES AUDIOVISUAIS EIRELI,36.371.899/0001-04
18,68.153.956/0001-67,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,FILMES MAIS LTDA,03.435.290/0001-94
152,20.462.917/0001-15,EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.,NO.HAY.BANDA CRIAÇÃO E PRODUÇÃO DE CONTEÚDO AUDIOVISUAL LTDA.,47.385.313/0001-79
37439,19.144.546/0001-44,AMANDA MACIEL DE AMORIM 11387354779,CAMISA PRETA FILMES LTDA,29.765.210/0001-52
43571,34.099.574/0001-80,GOYTACAZES FILMES LTDA,TUBARÃO FILMES LTDA,24.971.903/0001-88
47522,34.670.566/0001-42,CURSOS CRESCENT LTDA,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA,07.906.636/0001-46
36336,08.843.922/0001-72,TELEVISAO BORBOREMA S/A,TV GUARARAPES S.A.,01.769.569/0001-89
46198,37.593.768/0001-26,ALISON HENRIQUE MIOTO 09525745945,BARÕES PRODUTORA LTDA,45.087.024/0001-68
25973,15.691.691/0001-94,DGT SERVIÇOS DE MONITORAMENTO LTDA,QUANTA CENTRO DE PROD. CINEMATOGRÁFICA DE SÃO PAULO LTDA.,52.113.594/0001-40
40961,13.459.269/0001-82,CIRCUITO BOMBONIERE LTDA,CIRCUITO ENTRETENIMENTO E CINEMAS LTDA,08.068.712/0001-54
17465,12.001.757/0001-89,BAM STUDIO AUDIOVISUAL LTDA,AESO - ENSINO SUPERIOR DE OLINDA LTDA,09.726.365/0001-72
35103,26.600.209/0001-80,CINEMAX CINEMA CANOINHAS LTDA-ME,CINEMAX CINEMAS FRANCISCO BELTRAO LTDA,11.211.483/0001-90
17264,09.497.925/0001-64,FONTELES E WAISMANN COMÉRCIO E SERVIÇOS LTDA.,M. D. FONTELES,05.128.528/0001-64
51022,33.874.200/0001-22,NEY MACEDO VIDEO E COMUNICAÇÃO,MACEDO & PELISSARI S/C LTDA,65.713.331/0001-14
6062,52.559.671/0001-90,D F F DIANA FOTO FILME E TELECOMUNICACOES LTDA,CASABLANCA EFFECTS LTDA.,04.731.133/0001-99
43504,32.283.191/0001-32,DEEPY FILMS & CHAPTER FIVE PRODUÇÕES LTDA,BJ VÍDEO PRODUÇÕES LTDA - ME,08.234.711/0001-32
41358,31.610.608/0001-61,BENEDITO FILMES EIRELI,VIRALATA FILMES LTDA,29.575.070/0001-50
31512,03.543.173/0001-44,LJ PRODUÇÕES FOTOGRAFICAS LTDA.,VAPOR DIGITAL PRODUCÃO E COMUNICAÇÃO LDTA.,30.934.864/0001-41
14249,05.542.521/0001-94,FM MORAES FILMES,RAIZ ESTUDIO COMUNICAÇÃO LTDA ME,18.893.741/0001-04
4815,07.472.853/0001-75,KELLY SHYRLENE DA R. SILVA,SET FILMES & PRODUCOES EIRELI - ME,20.316.187/0001-44
27544,17.721.125/0001-03,PROSÉLITOS PRODUÇÕES E MARKETING EIRELI,A S BRAZ PRODUCAO DE FILMES CINEMATOGRAFICOS,10.465.962/0001-70
47860,34.093.368/0001-63,PARKER PRODUCOES AUDIOVISUAIS LTDA,FOGO CERRADO IMAGENS E SERVIÇOS LTDA ME,03.762.421/0001-48
18104,05.693.121/0001-80,CELTA PRODUÇÕES ARTISTICAS LTDA ME,ASSOCIAÇÃO ESCOLA E CULTURA EM FOCO,08.175.406/0001-17
51257,45.009.284/0001-15,TALENT4MUSIC EDITORA E PRODUTORA ARTISTICA LTDA,360 PRODUCAO ARTISTICA E AUDIO VISUAL LTDA-ME,39.116.298/0001-35
41653,29.455.105/0001-17,BRENDO E GONFIANTINI PRODUCOES LTDA ME,INDEPENDENTLY TOGETHER PRODUCOES LTDA - ME,18.809.953/0001-60
40471,09.236.497/0001-16,ENCONTRARTE QUALIDADE DE VIDA ATRAVÉS DA ARTE,"OFICINA DE IDEIAS MERITI ENSINO DE ESPORTES, ARTE, CULTURA E PRODUCAO DE EVENTOS LTDA - ME",06.262.727/0001-23
50815,45.086.756/0001-33,CIA DAS NOVIDADES EXCÊNTRICAS LTDA,DILÚVIO FILMES PRODUÇÕES ARTÍSTICAS LTDA. -ME,13.571.915/0001-07
11751,08.262.566/0001-01,SR RIO DE JANEIRO CINEMAS S/A,SR SÃO PAULO CINEMAS S/A,04.006.465/0001-00
45458,33.591.071/0001-65,HYPEMOV SERVIÇO DE LICENCIAMENTO DE IMAGENS E VIDEOS LTDA,PEDRO CIAMPOLINI ME,13.444.023/0001-37
33774,24.807.691/0001-06,BEATRIZ B PRATES PRODUÇÕES - EPP,MSV COMUNICA LTDA,48.414.051/0001-96
25695,97.522.356/0001-27,PAÊBIRÚ REALIZAÇÕES CULTIVADAS,CASA DE MARIMBONDO FILMES LTDA EPP,28.790.689/0001-14
26891,17.023.894/0001-38,CABEÇA AMARELA FILMES PRODUTORA DE FOTO E VIDEO LTDA,CABEÇA AMARELA VIDEOMAKER PRODUTORA DE VÍDEOS E FOTOS LTDA,05.594.778/0001-90
23726,15.170.882/0001-00,JL PRODUÇÕES LTDA - ME,082 PRODUÇÕES LTDA - ME,09.095.052/0001-63
36190,00.083.894/0001-20,PLATINUM FOTOGRAFIA PUBLICITÁRIA LTDA.,PLATINUM FILMS PRODUCOES AUDIOVISUAIS LTDA - EPP,28.621.247/0001-44
29541,19.322.120/0001-33,ZAP MARKETING E PRODUÇÃO DE VÍDEOS LTDA - ME,ZAP RIO PRETO COMERCIO E VIDEO PRODUÇÕES LTDA - EPP,07.430.780/0001-59
52580,47.720.299/0001-12,INANA LTDA,BROKOLIS DO BRASIL EDIÇÃO E FINALIZAÇÃO LTDA.,05.656.299/0001-50
3946,13.884.226/0001-44,TV SUBAE LTDA,BVL - BAHIA VÍDEO LTDA,63.259.089/0001-25
37089,14.362.548/0001-96,SMYOWL DESENVOLVIMENTO DE SOFTWARES LTDA,PRODUTORA VEM LTDA,23.246.506/0001-80
42329,05.060.107/0001-49,PROVEDOR REDESUL LTDA,MULTITEL COMUNICACOES LTDA,02.681.202/0001-71
1103,03.380.530/0001-09,SPECTRA MIDIA PRODUÇÕES LTDA,"SPECTRA NOVA PRODUÇÕES, EDIÇÕES E COMÉRCIO LTDA.",06.152.145/0001-94
33126,22.258.961/0001-33,ALADOS COMUNICACAO CULTURAL E PRODUCOES - EIRELI - EPP,ALADAS 2 IMAGEM E CRIACOES - EIRELI,20.804.500/0001-93
44183,30.550.991/0001-47,IPPON PRODUÇÕES EIRELI,CINEMAS PARIS SEVERIANO RIBEIRO LTDA,31.611.189/0001-82
13928,09.006.254/0001-91,LK TEL DISTRIBUIDORA DE FILMES LTDA.,CINEMAS PARIS SEVERIANO RIBEIRO LTDA,31.611.189/0001-82
2740,30.831.184/0001-00,CINEMATOGRÁFICA IGUAÇU LTDA,CINEMAS RIVER LTDA,33.836.990/0001-51
1098,00.499.424/0001-42,ACESA PRODUÇÕES I LTDA,LUMINA PRODUÇÕES LTDA,05.053.742/0001-07
24080,06.320.445/0001-35,EVERALDO DO CARMO BARBOSA,FOUR HANDS COMUNICAÇÃO LTDA,10.651.272/0001-05
43218,33.764.811/0001-18,AMETISTA FILMES LTDA,TIAGO SOBAN FERNANDES,07.490.214/0001-32
4247,79.135.760/0001-66,TELEVISAO CULTURA DE MARINGA LIMITADA,TV CATARATAS LTDA,80.830.334/0001-21
51932,47.509.589/0001-11,FRONT PRODUCAO CINEMATOGRAFICA LTDA,FRONT PRODUCOES E CONTEUDO LTDA,46.265.076/0001-40
11753,01.959.772/0001-18,CENTRAL DE PRODUÇÕES GWUP S/A,MEU SUCESSO EMPREENDEDORISMO S/A,20.095.920/0001-48
338,68.413.533/0001-39,CINEMÁ PRODUÇÕES CINEMATOGRÁFICAS LTDA,CINEMA FILMS PRODUÇÕES LTDA,11.239.094/0001-72
1559,94.355.484/0001-35,IN FOCO FILMES E ENTRETENIMENTO LTDA,"CONTAINER MEDIA E ENTRETENIMENTO, SERVIÇOS E REPRESENTAÇÕES LTDA",10.772.239/0001-33
30783,05.911.887/0001-93,BRUNO DE OLIVEIRA VIANNA COSTA -ME,B-TEK IMAGENS LTDA,19.804.879/0001-52
26827,20.126.907/0001-09,M R N FILMES E PRODUCOES LTDA,EMERSON MAGO FILMES EIRELI,33.920.130/0001-00
49704,14.497.864/0001-75,JPS NEGÓCIOS LTDA,RBS EMPRESA DE TVA LTDA,93.049.245/0001-94
21161,02.188.743/0001-62,SP SERVIÇOS CINEVIDEO LTDA,L PIRES,05.469.627/0001-00
3132,02.104.789/0001-56,CINEMAS ALVORADA DIVERSÕES LTDA,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,51.460.582/0001-20
3136,03.608.600/0001-25,MSA EMPRESA CINEMATOGRÁFICA LTDA,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,51.460.582/0001-20
2819,33.032.145/0001-23,AUDIOSTORE COMUNICAÇÃO LTDA,VIDEO ONE TELECOMUNICAÇÃO LTDA,02.488.036/0001-91
17674,12.461.938/0001-98,SERGIO LEONARDO VILLAR PINTO EPP,SERGIO LEONARDO VILLAR PINTO AUDIOVISUAL EIRELLI- ME,24.413.421/0001-02
48427,39.898.553/0001-49,NSI MEDIA LTDA,STORM ADMINISTRAÇÃO LTDA,10.594.410/0001-61
1874,05.832.663/0001-96,INTRO PICTURES PRODUÇÕES CINEMATOGRÁFICAS LTDA,CAICO PRODUTORA DE CONTEÚDO AUDIOVISUAL E SERVIÇOS DE COMUNICAÇÃO LTDA.,56.802.747/0001-18
49018,33.550.566/0001-46,FERNANDO MAURO PRODUÇÕES E PUBLICIDADE LTDA,INSTITUTO ABCCOM,20.800.979/0001-90
44214,01.874.614/0001-65,PROJETO IRRADIANTE DE COMUNICAÇÃO,INSTITUTO ABCCOM,20.800.979/0001-90
17547,12.240.058/0001-91,DAZA PRODUÇÃO CULTURAL LTDA ME,LITTLE BOX FILMES - ME,13.617.555/0001-29
29456,21.304.421/0001-86,MARIA DAS GRAÇAS AVELAR MARCELINO -ME,CINOCHE-BR PRODUÇÕES AUDIOVISUAL LTDA,10.487.588/0001-03
40638,11.709.793/0001-39,CINEMA DO RIO CULTURA E EVENTOS LTDA,VIRAMUNDO CINEMA E PARTICIPAÇÕES LTDA.,03.623.153/0001-83
264,02.660.748/0001-46,TIBET FILME LTDA,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM,31.887.052/0001-55
38777,29.278.812/0001-85,ECO ERLANGER COMUNICAÇÃO PRODUÇOES E CONSULTORIA EIRELI,ERLANGER COMUNICAÇÃO E ARTE - EIRELI,21.574.898/0001-81
585,04.063.325/0001-74,MEGACINE EDIÇÃO DE SOM MIXAGEM LTDA.,TIBET FILME LTDA,02.660.748/0001-46
17748,31.887.052/0001-55,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM,TIBET FILME LTDA,02.660.748/0001-46
31033,23.154.794/0001-43,DAEMON FILMES LTDA ME,ELÃ PRODUÇÕES EIRELI - ME,17.215.474/0001-53
43728,23.375.424/0001-36,JOÃO JOSE PISTUM NETTO,P.NETTO E MEDEIROS LTDA ME,13.040.127/0001-86
46273,10.862.212/0001-31,TERA BRASIL LOCAÇÃO DE EQUIPAMENTOS EIRELI,BEGS COMÉRCIO E SERVIÇOS LTDA,09.586.065/0001-35
37585,27.515.644/0001-79,OLLI PRODUÇÕES ARTÍSTICAS LTDA,2MO PRODUÇÕES ARTÍSTICAS LTDA,37.197.719/0001-74
33326,09.591.007/0001-08,TEMPODESIGN CONTEÚDO LTDA - EPP,RICARDO VAN STEEN CONTEÚDO E COMUNICAÇÃO LTDA.,65.471.336/0001-88
45484,10.465.962/0001-70,A S BRAZ PRODUCAO DE FILMES CINEMATOGRAFICOS,PROSÉLITOS PRODUÇÕES E MARKETING EIRELI,17.721.125/0001-03
21520,10.371.708/0001-02,"ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ",ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV,33.901.784/0001-88
13772,09.504.236/0001-30,FONDO FILMES LTDA,PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.,17.227.558/0001-07
24365,18.088.531/0001-43,ARPAN PRODUÇÕES ARTÍSTICAS LTDA.,GALIOTTO PRODUÇÕES CULTURAIS LTDA,01.453.047/0001-73
21614,01.354.178/0001-01,UAU FILMES LTDA,PAULO A. CARDOSO,32.909.201/0001-00
17376,09.629.168/0001-35,UAU CINE TV LTDA,PAULO A. CARDOSO,32.909.201/0001-00
34747,24.813.192/0001-13,JABUTICABA PRODUCOES LTDA EPP,JABUTICABA FILMES E DIGITAL LTDA,56.710.460/0001-68
7094,08.385.322/0001-08,PIXEL VIDEO PRODUÇÕES LTDA,ELO PRODUCOE S DE VIDEOS LTDA,33.602.592/0001-70
41737,28.485.087/0001-53,LUCCAS TOON STUDIOS LTDA,LR PRODUÇÕES ARTÍSTICAS LTDA,22.828.178/0001-68
25169,17.666.476/0001-69,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,LR PRODUÇÕES ARTÍSTICAS LTDA,22.828.178/0001-68
4653,02.386.149/0001-86,SET PRODUTORA PRODUÇÕES E EVENTOS LTDA ME,"DOIS TOM COMUNICAÇÃO, PRODUÇÃO E EVENTOS LTDA",07.350.086/0001-21
44584,35.339.160/0001-44,ZEPP FILMES LTDA,ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.,94.100.302/0001-85
1635,05.638.479/0001-00,FIJI PRODUÇÕES AUDIOVISUAIS LTDA,CBSP - CASABLANCA SERVICE PROVIDER LTDA,04.995.093/0001-92
39023,13.841.379/0001-04,INSTITUTO DE DESENVOLVIMENTO UNICERRADO,LTBA COMÉRCIO E SERVIÇOS LTDA EPP,04.694.478/0001-10
41687,28.617.961/0001-69,CHOQUE DE CULTURA PRODUÇÕES LTDA ME,QUEROSENE PRODUÇÕES ARTISTICAS E CINEMATOGRÁFICAS LTDA,11.545.487/0001-04
42455,26.674.863/0001-38,ASTARTE PRODUTORA LTDA.,TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA,50.609.973/0001-09
18552,13.810.015/0001-67,RADIO E TELEVISAO BANDEIRANTES DA BAHIA LTDA,TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA,50.609.973/0001-09
34708,20.767.644/0001-17,MITZZI BERTOLDO DE CARVALHO MOTTA RODRIGUES DA SILVA 05454783757,"MUDE FILMES, ENTRETENIMENTO, COMUNICAÇÃO E MULTIMÍDIA LTDA.",30.127.321/0001-12
46123,37.098.291/0001-02,PRODUCOES ARTISTICAS FIRST MOVIE SPE LTDA.,MESSIAS GERALDO DOS SANTOS - ME,28.589.934/0001-20
38399,27.019.739/0001-00,TECH AND SOUL COMUNICAÇÃO E MARKETING LTDA EPP,TECH AND SOUL PRODUCOES PUBLICITARIAS EIRELI,32.657.275/0001-99
2685,29.171.311/0001-03,CINECLUBE PAU BRASIL,ADRIANA SCORZELLI RATTES,22.057.272/0001-60
39381,29.893.870/0001-19,BMK PRODUCOES AUDIOVISUAIS LTDA,ALAS COMUNICACAO E PRODUCAO AUDIOVISUAL LTDA,44.325.583/0001-04
52546,46.259.455/0001-27,ONDA FILMES LTDA,PERISCOPIO FILM,29.338.158/0001-58
17604,12.394.570/0001-92,DOGS CAN FLY PRODUÇÕES CINEMATOGRÁFICAS LTDA,MISTIKA PRODUÇÕES CINEMATOGRÁFICAS LTDA,14.362.847/0001-20
28395,20.720.402/0001-78,FUMAÇA PRODUTORA E DISTRIBUIDORA DE FILMES LTDA.,BUBBLES PRODUÇÕES ARTÍSTICAS LTDA,14.440.714/0001-25
1944,04.969.463/0001-17,CINEMA ARTEPLEX LTDA.,CINESALA EXIBIÇÕES E EVENTOS LTDA,19.361.857/0001-65
45889,21.355.575/0001-05,EQUINOX DIGITAL SERVICES IMPORTACAO EXPORTACAO LTDA,ULTRAVISÃO CINEMAS E ENTRETENIMENTO LTDA.,08.234.750/0001-30
15983,05.035.003/0001-84,BRANT PROJETOS CULTURAIS S/S LTDA.,DEUSDARÁ FILMES LTDA,00.953.135/0001-71
14943,02.873.851/0001-74,GABRIEL LEHTO GOMES COMUNICAÇÕES ME,NUCLEO 8 COMUNICAÇÕES LTDA ME,26.645.229/0001-77
23873,14.137.909/0001-09,DALMO DE OLIVEIRA JUNIOR ME,PRIMEIRO PLANO FILMES EIRELLI,40.248.446/0001-54
39633,02.195.668/0001-67,ZAMAGUGA PRODUÇÕES ARTÍSTICAS LTDA,D+3 PRODUÇÕES ARTÍSTICAS LTDA.,05.320.143/0001-02
201,01.618.105/0001-71,ESTUDIOS MEGA LTDA,BRASIL FILMES LTDA,02.660.841/0001-50
49581,41.864.145/0001-18,CABANA STUDIO FOTOGRAFIA E CINEMATOGRAFIA LTDA,GUILHERME TAMBURUS FOTOGRAFIA - ME,20.032.770/0001-23
18405,13.020.687/0001-79,MINHAVO SERVICOS DE CINEMA E ARTES LTDA - ME,MEUS RUSSOS AUDIOVISUAL LTDA,13.202.884/0001-09
49988,44.084.629/0001-32,CINEMATOGRÁFICA OURO BRANCO LTDA,CINEMATOGRÁFICA LAFAIETE LTDA.,30.670.167/0001-20
46893,35.486.652/0001-62,CINEMATOGRAFICA CINEMA UBA LTDA,CINEMATOGRÁFICA LAFAIETE LTDA.,30.670.167/0001-20
47806,33.821.754/0001-61,KALUI PRODUÇÕES LTDA,SOTAQUE FILMES LTDA - ME,26.066.060/0001-09
47293,07.627.955/0001-12,CDO COMUNICACAO LTDA,SOTAQUE FILMES LTDA - ME,26.066.060/0001-09
31585,23.024.523/0001-73,D.P. MALACHIAS - FILMES - ME,RTV PRODUTORA LTDA EPP,24.078.533/0001-54
42561,04.711.667/0001-53,S2 CRIACAO E NEGOCIOS S/S LTDA,FRAMERIA CRIAÇÃO E PRODUÇÃO LTDA,40.036.132/0001-98
52867,47.620.410/0001-07,CINEMAS HENKES E HENKES LTDA,CINEMAS SANTOS RIBEIRO LTDA ME,08.708.519/0001-30
46822,29.567.241/0001-07,ROBERTO MARINHO ABRANTES PRODUCAO E ATIVIDADES CINEMATOGRAFICAS,M R PRODUCOES CINEMATOGRAFICAS LTDA,34.052.312/0001-60
37260,28.175.534/0001-78,ESTUDIO XIRU PRODUTORA LTDA - EPP,BLUES CONTENT PRODUÇÕES LTDA.,20.110.412/0001-91
49236,39.144.799/0001-25,CAJU PRODUÇÕES E EVENTOS LTDA,ATIVA ASCOM LTDA,07.932.269/0001-55
36084,10.926.254/0001-99,DGC PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME,DIGITALLCINE PRODUÇÕES CINEMATOGRÁFICAS LTDA,07.037.942/0001-93
22478,10.429.612/0001-58,CONSPIRAÇÃO ENTRETENIMENTO SÃO PAULO LTDA.,VEREDA INTERNACIONAL AUDIOVISUAL LTDA,09.112.697/0001-67
1184,03.347.577/0001-62,TFCF LATIN AMERICAN CHANNELS DO BRASIL LTDA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,73.042.962/0001-87
51651,46.833.682/0001-14,LEMONADE LAB LTDA,LEMONADE CONTEUDO,32.648.863/0001-66
30391,00.235.372/0001-05,"ARTISTAS REUNIDOS - PRODUÇÃO, CRIAÇÃO E GRAVAÇÕES FONOGRÁFICAS LTDA.",JAIR RODRIGUES MELO DE OLIVEIRA,17.805.319/0001-97
31030,10.014.687/0001-78,GONÇALVES CORDEIRO PROPAGANDA E MARKETING LTDA,SISTEMA FACTUAL DE COMUNICAÇÃO LTDA,18.030.547/0001-03
31894,23.865.184/0001-58,CINE SANTA CRUZ LTDA - ME,CINE MAX BRASIL LTDA,46.037.375/0001-27
32404,10.336.251/0001-03,MEGA PRODUCOES ARTISTICAS LTDA - ME,MK PRODUÇÕES ARTISTICAS LTDA,27.466.451/0001-75
51429,45.597.282/0001-94,PAIEIROS PRODUCOES CULTURAIS UNIPESSOAL LTDA,FERVEDOURO PRODUCOES CINEMATOGRAFICAS LITERARIAS E CULTURAIS UNIPESSOAL LTDA,46.709.797/0001-00
20632,08.510.610/0001-47,STUDIO MGA FILMES LTDA,MGA DESIGN E FILMES LTDA,36.441.579/0001-75
16197,11.265.176/0001-91,PRETA PORTÊ FILMES E PRODUÇÕES CULTURAIS LTDA,JOKANA KUPARAKA LAB DE CRIACAO LTDA,40.930.246/0001-87
40992,31.296.141/0001-27,RETRATO FILMES LTDA,MULTIVERSO FILMES PRODUÇÕES ARTÍSTICAS LTDA,29.121.096/0001-28
37228,28.153.563/0001-39,CINECOM ENTRETENIMENTO LTDA,SIRINO E SILVESTRE LTDA-ME,00.487.854/0001-44
265,33.015.827/0001-28,WARNER BROS. (SOUTH) INC.,BRASIL CHANNELS SERVIÇOS AUDIOVISUAIS LTDA.,15.776.522/0001-57
15833,10.894.937/0001-01,CINE A LTDA,CINE A SERVIÇOS LTDA,23.682.751/0001-30
13949,02.579.308/0001-69,RADIO E TELEVISAO CAPITAL LTDA,RECORD PROMOÇÃO DE EVENTOS E ENTRETENIMENTO LTDA,04.552.791/0001-13
45615,07.179.957/0001-96,INTERAÇÃO SERVIÇOS DE COMUNICAÇÃO LTDA,ALPHA PRODUÇÕES LTDA ME,04.432.782/0001-99
30731,59.050.658/0001-50,E COMERCIAL FILMES LTDA - EPP,"LEW,LARA PROPAGANDA E COMUNICAÇÃO LTDA.",59.733.030/0001-50
22973,09.590.644/0001-51,8 PRODUÇÃO CULTURAL LTDA - ME,LP ARTE SOLUÇÕES CULTURAIS LTDA.,22.596.766/0001-13
35188,22.828.178/0001-68,LR PRODUÇÕES ARTÍSTICAS LTDA,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,17.666.476/0001-69
27801,10.825.940/0001-73,SARAVÁ FILMES LTDA ME,RENATA DE TOLEDO RUDGE - ME,08.021.811/0001-80
51146,07.126.215/0001-00,3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA,TV SAO JOSE DO RIO PRETO LTDA,50.023.373/0001-56
3324,07.101.253/0001-09,ANDERSON FARIA PRODUÇÕES CINEMATOGRÁFICAS LTDA,USINA DE CINEMA LTDA.,25.467.226/0001-28
16512,28.339.349/0001-71,GRAÇA ARTES GRÁFICAS E EDITORA LTDA,TELEVISAO CIDADE MODELO LTDA,03.862.216/0001-54
13863,08.187.735/0001-88,DUBEM COMUNICAÇÃO E CULTURA,ANDORINHA PRODUCOES CULTURAIS LTDA - ME,15.689.484/0001-03
3298,61.383.022/0001-72,LYNXFILM PRODUÇÕES AUDIO-VISUAIS LTDA,IMAGEM SERVIÇOS CINEMATOGRÁFICOS EIRELI,05.130.532/0001-67
20792,14.932.468/0001-29,MOUSE HOUSE PRODUCOES LTDA - ME,MACHINE FILMES LTDA,30.370.614/0001-26
26764,14.965.688/0001-59,SISTEMA MASSA DE TELEVISÃO LTDA,GMRM ENTRETENIMENTOS LTDA.,25.141.399/0001-51
4375,45.515.558/0001-48,GM ARAUJO CINEMATOGRAFICA LTDA,ESPLANADA CINEMATOGRÁFICA LTDA,00.567.570/0001-68
13421,01.631.403/0001-00,LUZES DA CIDADE - GRUPO DE CINÉFILOS E PRODUTORES CULTURAIS,INSENSATEZ AUDIOVISUAL LTDA.-ME,18.418.408/0001-43
17061,11.881.199/0001-20,KAFFE CREATIVE STUDIO LTDA - ME,.976 LTDA,46.521.620/0001-77
37862,27.661.965/0001-81,BELA VISTA PRODUCAO AUDIOVISUAL LTDA - EPP,3K MONTANA PRODUÇÃO AUDIOVISUAL LTDA - EPP,13.223.419/0001-54
25163,18.627.575/0001-02,GALVÃO & VEDANA LTDA,ESTUDIO PE GRANDE ANIMACAO CINEMATOGRAFICA LTDA,36.233.825/0001-01
36440,08.012.385/0001-19,LOADEANDO EMPREENDIMENTOS E PRIODUÇÕES ARTÍSTICAS LTDA,NAMO RAL PRODUCOES ARTISTICAS E EMPREENDIMENTOS LTDA,08.543.196/0001-72
35893,12.764.113/0001-42,VISCONDE SUPORTE BROADCASTING LTDA - EPP,CAMERA 2 VIDEO FILMES LTDA,03.246.961/0001-79
20441,14.583.558/0001-51,CINE CANASTRA LTDA,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.,36.187.298/0001-38
15092,07.723.488/0001-24,JOSUE´S CINE & FOTO LTDA,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.,36.187.298/0001-38
42455,26.674.863/0001-38,ASTARTE PRODUTORA LTDA.,TELEVISÃO BANDEIRANTES DO PARANÁ LTDA,77.969.145/0001-20
12946,33.050.733/0001-90,RADIO E TELEVISAO BANDEIRANTES DO RIO DE JANEIRO S.A.,TELEVISÃO BANDEIRANTES DO PARANÁ LTDA,77.969.145/0001-20
46946,02.847.917/0001-51,EDITORA FILME B LTDA,FILME B COMUNICAÇÕES S.A,01.918.811/0001-39
32985,08.691.210/0001-85,TURNING PROCESSAMENTO DE DADOS E IMAGENS LTDA,CASA SUNSET - INSTITUTO NAUM TURQUENITCH DE CINEMA E CULTURA,08.549.765/0001-97
68,00.325.903/0001-42,TURNING POINT PRODUCOES EIRELI,CASA SUNSET - INSTITUTO NAUM TURQUENITCH DE CINEMA E CULTURA,08.549.765/0001-97
49915,42.858.109/0001-04,CINE LASER PORTO VELHO CINEMAS LTDA,CINE LASER NORTE CINEMA LTDA,34.626.954/0001-26
50203,40.850.944/0001-72,CINE LASER CINEMAS UMUARAMA LTDA,CINE LASER NORTE CINEMA LTDA,34.626.954/0001-26
27684,14.435.527/0001-53,F B PAIVA FILMES EIRELI,ASTRONAUTAS FILMES LTDA - ME,12.303.140/0001-18
2869,04.547.950/0001-91,FEIRA PLEXCINE LTDA.,ITAIGARA PLEXCINE LTDA.,06.107.805/0001-15
2973,72.089.667/0001-13,TATU FILMES LTDA-ME,JUBARTE FILMES LTDA-ME,05.297.810/0001-75
46063,00.178.856/0001-51,ATUANTE SERVICOS E ESTACIONAMENTO LTDA - ME,RJ DISTRIBUIDORA DE FILMES LTDA,00.146.442/0001-40
15365,07.901.398/0001-86,TUDO DE SOM PRODUÇÕES LTDA,TUDO DE BOM PRODUÇÕES LTDA,04.143.430/0001-13
1887,33.392.895/0001-06,PRODUÇÕES CINEMATOGRÁFICAS R F FARIAS LTDA,RF CINEMA E TV LTDA,73.668.295/0001-42
26806,17.034.135/0001-70,J. DE A. OLIVEIRA EIRELI - EPP,SISTEMA GUARA DE RADIODIFUSÃO LTDA,04.861.850/0001-35
1505,42.592.741/0001-59,CPC CENTRO DE PRODUÇÀO E COMUNICAÇÃO LTDA.,SCENA FILMES LTDA,00.193.157/0001-80
21330,10.711.626/0001-60,MARIA APARECIDA PINTO ALCANTARA PRODUTORA DE VIDEOS LTDA ME,ESTUDIO POLEGAR OPOSITOR FILMES SERVICOS LTDA ME,14.276.798/0001-03
309,04.268.162/0001-66,ACTIVITY FILMES DO BRASIL LTDA.,ATUANTE SERVICOS E ESTACIONAMENTO LTDA - ME,00.178.856/0001-51
