REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
1337,72.004.591/0001-86,SPECTRUS VIDEO E MULTIMIDIA LTDA,SPECTRUS PRODUCOES DIGITAIS E CINEMATOGRAFICAS LTDA - ME,50.272.624/0001-36
25969,15.871.177/0001-30,PICTURE HOUSE PRODUÇÕES EIRELI,IN GOOD COMPANY PRODUCOES LTDA - EPP,24.443.453/0001-50
18510,13.271.724/0001-11,VHM COMUNICAÇÃO EIRELI,CINEMA FILMES LTDA,60.043.411/0001-96
30006,20.258.160/0001-42,2N AUDIOVISUAL LTDA - ME,GRAVINA SERVIÇOS DE SOLUÇÕES AUDIOVISUAIS L.T.D.A - ME,07.633.095/0001-20
41382,30.380.478/0001-55,MTTRAILER PRODUÇÕES CINEMATOGRÁFICAS EIRELI ME,MOVIETRAILER PRODUÇÕES CINEMATOGRÁFICAS LTDA,11.726.459/0001-93
25677,14.837.945/0001-77,DIGITAL MUSIC EDITORA & PRODUCOES LTDA - ME,FEVER FILMES PRODUÇÕES LTDA,36.540.172/0001-03
21560,06.070.400/0001-50,JAMUTE PRODUÇÕES DE AUDIO EIRELI,JMT PRODUCOES DE AUDIO LTDA,01.250.184/0001-00
19963,14.173.808/0001-85,JONATHAN POST FILMES LTDA,DANIEL DIAS DESING ME,08.607.372/0001-92
32600,04.723.682/0001-11,PEQUENA NOTÁVEL EMPREENDIMENTOS ARTÍSTICOS LTDA ME.,DE NOVO EMPREENDIMENTOS ARTÍSTICOS,15.786.435/0001-80
31459,23.046.389/0001-01,DOGON GESTAO DE CONTEUDO LTDA,JOINT ABC PUBLICIDADE E PROMOCOES LTDA - EPP,57.346.611/0001-03
43464,30.491.987/0001-55,PAULO CÉSAR BRANT ALVIM,PAULO CESAR BRANT ALVIM 06791558644,19.610.290/0001-13
13873,04.001.743/0001-37,"REGISTRO URBANO PRODUCAO, CINEMA E VIDEO LTDA",A PRODUTORA FILMES LTDA,41.759.821/0001-93
3099,17.066.754/0001-47,EMPRESA CINE SÃO LUIZ LTDA,CINEMATOGRAFICA NORDESTE LTDA,21.599.452/0001-01
12402,01.306.772/0001-19,MEGAMÍDIA - COMUNICAÇÃO PUBLICIDADE E EVENTOS LTDA,MEGAVIDEO MIDIA LTDA ME,10.545.565/0001-08
37908,28.072.570/0001-06,J. MORAES G. COMISSARIA DE DESPACHOS ADUANEIRO EIRELI - ME,MORAES PRODUÇÕES CINEMATOGRAFICAS LTDA EPP,25.080.587/0001-17
5204,07.700.641/0001-06,"GO7 ASSESSORIA, PRODUCAO E MARKETING CULTURAL EIRELLI",INSTITUTO CONHECER BRASIL,01.718.634/0001-47
20451,08.541.650/0001-56,ATIVIDADES CULTURAIS PARATODOS,TAUS PRODUCOES AUDIOVISUAIS EIRELI,57.312.878/0001-80
24711,17.227.558/0001-07,PORTA DOS FUNDOS PRODUTORA E DISTRIBUIDORA AUDIOVISUAL S.A.,FONDO FILMES LTDA,09.504.236/0001-30
39910,30.411.014/0001-69,MOLETOM STUDIO SOFTWARES LTDA,BILLION BITS DESENVOLVIMENTO DE SOFTWARE LTDA,30.046.123/0001-24
47070,22.915.863/0001-21,BEAUVOIR - ARTE E COMUNICAÇÃO LTDA,RICARDO GONÇALVES PRODUÇÕES CINEMATOGRAFICAS - ME,15.438.650/0001-90
17661,07.660.253/0001-30,EF PRODUCOES ARTISTICAS LTDA,YAMA AUDIOVISUAL LTDA,37.976.647/0001-63
683,36.007.649/0001-81,VITÓRIA PRODUÇÕES CINEMATOGRÁFICAS LTDA.,MELODRAMA PRODUÇÕES LTDA.,03.626.688/0001-08
34809,05.050.115/0001-04,VALTEC VIDEO LTDA -ME,VALTEC MARKETING E PROPAGANDA LTDA,07.285.388/0001-63
36461,11.496.603/0001-42,SIC ­ SISTEMA INTEGRADO DE COMUNICACAO LTDA,IDE PRODUCTIONS LTDA,40.585.042/0001-56
19099,07.350.086/0001-21,"DOIS TOM COMUNICAÇÃO, PRODUÇÃO E EVENTOS LTDA",KRAÔ PRODUTORA E EVENTOS LTDA,10.773.590/0001-49
37872,27.373.295/0001-06,ILHA CROSSMIDIA LTDA,A ILHA PRODUÇÃO LTDA,02.241.562/0001-52
50516,36.536.962/0001-07,CRIANÇAS INTELIGENTES DESENVOLVIMENTO DE CONTEÚDO EDUCACIONAL LTDA,PAGINA EDITORA E COMERCIO DE LIVROS - EIRELI,09.042.517/0001-18
18556,10.937.255/0001-39,JS FILMES LTDA- ME,MF MULTIMÍDIA LTDA - ME,26.223.357/0001-22
47520,14.859.056/0001-00,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,REDECINE SUL CINEMAS LTDA.,18.672.374/0001-19
44914,35.804.953/0001-97,REDECINE RIO GRANDE CINEMATOGRAFICA LTDA,REDECINE SUL CINEMAS LTDA.,18.672.374/0001-19
35014,23.322.064/0001-04,PRODUTORA CANARINHO DE ARTE E CULTURA LTDA,PRODUTORA BRASILEIRA DE ARTE E CULTURA LTDA.,13.483.286/0001-55
21932,97.544.294/0001-54,MUNDO PORTÁTIL COMÉRCIO DE DISCOS E BRINQUEDOS LTDA.,ANIMANDO PRODUÇÕES ARTÍSTICAS LTDA.,31.525.918/0001-88
22630,16.104.588/0001-63,SENTIMENTAL ETAL LTDA,SENTIMENTAL FILME LTDA,05.326.727/0001-87
33040,23.246.506/0001-80,PRODUTORA VEM LTDA,SMYOWL DESENVOLVIMENTO DE SOFTWARES LTDA,14.362.548/0001-96
1021,03.675.713/0001-43,CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,14.716.352/0001-52
48462,41.670.839/0001-14,SUSTO PRODUÇÃO DE FILMES LTDA,SERVICOS COMPARTILHADOS DE PRODUCAO DE FILMES LTDA,14.716.352/0001-52
12905,03.715.726/0001-07,INSTITUTO DE CULTURA E MEIO AMBIENTE,ICUMAM CULTURAL EIRELI,14.399.728/0001-42
35277,07.032.721/0001-22,MM AMORIM COMUNICAÇÃO E SERVIÇOS LTDA ME,MMA PRODUÇÃO DE VIDEO E DE TV EIRELI,31.274.615/0001-30
